id,date_of_birth,number_dependants,credit_utilization,debt_to_income_ratio,monthly_income,number_open_credit_lines,number_open_loans,number_90_days_past_due,number_charged_off,score1,score2,target
84,1938-08-05,1,0.0383092365419702,0.2229764104928565,2700,1,2,0,0,661,692,0
85,1933-04-17,0,0.031200580155033,0.2509375194625372,2900,3,6,0,0,735,673,0
86,1997-08-30,1,0.0915767296692221,0.1711067563574464,2400,8,5,0,0,503,707,0
87,1958-03-09,1,0.0179075686930795,0.2218747069430048,2600,8,3,0,0,629,546,0
88,1974-08-05,0,0.0191176759434419,0.3969205727620831,2100,4,4,0,0,785,835,0
89,1932-08-28,1,0.0483136573464081,0.2730229646131278,2800,1,3,0,0,645,808,0
90,1943-09-05,0,0.0041898844080982,0.4646216722144792,2000,4,2,0,0,805,660,0
91,1969-05-05,1,0.0238294434575969,0.1491415449418511,3500,8,3,0,0,675,529,0
93,1978-12-15,1,0.1026402620994334,0.3428673309365014,2000,2,1,0,0,605,724,0
95,1962-06-21,1,0.045452213678529,0.3402724535375537,2100,6,0,0,0,702,575,0
96,1946-07-23,1,0.0276320572557514,0.5058426313997957,2300,7,2,0,0,662,655,0
97,1942-10-11,1,0.003554381614671,0.5132104989375016,2400,5,0,0,0,539,666,1
98,1988-02-25,0,0.0194501020285214,0.3636155106298772,2300,7,1,0,0,625,810,0
99,1941-05-25,1,0.0203715138524811,0.3142156570878281,2400,7,6,0,0,756,693,0
100,1964-04-27,0,0.0606346701607947,0.2266526242422905,2000,3,0,0,0,778,661,0
101,1944-11-21,1,0.0504682128515415,0.303718020473077,2200,4,4,0,0,641,807,0
102,1957-11-21,0,0.0663433559186583,0.3263086778158346,2000,5,1,0,1,587,777,0
103,1977-05-05,0,0.0012504833494437,0.3349842260224376,2900,5,4,0,0,534,727,0
105,1975-06-17,0,0.0063300831660666,0.4777959120402756,2800,4,1,1,0,748,580,0
107,1986-06-10,3,0.0126570203450908,0.3075083377617317,2000,5,2,0,0,832,584,0
109,1965-06-29,0,0.004124766391582,0.4302754739321716,2300,5,1,1,0,824,512,0
110,1961-05-28,0,0.0021077853471592,0.3577348209373164,2200,8,0,0,0,606,834,0
111,1934-03-13,0,0.0233732431537203,0.3209216703153923,2800,5,0,1,0,835,584,0
112,1997-11-23,0,0.027521591620544,0.2624069228499195,2400,4,2,1,0,610,802,0
113,1944-07-28,0,0.0753412466230987,0.2423031554658508,2400,5,3,0,0,638,801,0
114,1942-03-03,1,0.0277365701123699,0.1923152278646487,2300,3,3,0,0,517,745,0
115,1968-07-20,0,0.0107373355423985,0.2245542517637656,2100,6,1,1,0,724,576,0
116,1991-12-05,0,0.0534590472353209,0.551391116468219,2200,2,9,0,0,793,722,0
117,1999-05-02,1,0.0510726037225508,0.4992995726771614,2500,6,4,0,0,737,547,0
118,1995-03-06,2,0.0282062898951518,0.3378601485768491,2300,8,1,0,0,539,681,0
119,1958-08-30,2,0.0503242149625232,0.3765484667499174,2100,3,2,0,0,549,780,0
121,1992-02-21,0,0.1375496457837244,0.3212310254811567,2000,4,4,0,0,567,670,0
122,1970-12-23,0,0.1104287962290912,0.3909260063899726,2000,5,2,0,0,603,700,1
123,1986-02-19,0,0.062518776653536,0.2901441040825498,2600,4,3,0,0,657,708,0
125,1953-06-17,1,0.0504230703130618,0.4530573815467428,2900,5,2,0,0,787,837,0
126,1928-06-02,0,0.115600160673207,0.2782291345591279,2600,8,5,0,0,569,750,0
128,1962-08-23,0,0.064922538428804,0.3354727861678748,2000,6,5,0,0,714,838,0
130,1961-02-27,1,0.0014612205288965,0.3274789272257924,2900,5,4,0,0,837,574,0
131,1964-04-05,1,0.0438923167026691,0.5750839995612084,2400,5,1,0,0,763,675,0
132,1948-08-22,3,0.0393709160614199,0.6115627498667175,2200,3,3,0,0,716,635,0
136,1937-03-29,0,0.1081307335015663,0.1729180254925138,2000,5,0,0,0,719,730,0
137,1929-02-06,1,0.0460159586524539,0.3645100824338108,2700,4,3,0,0,678,704,0
138,1929-10-11,1,0.0129066561853068,0.2599994764751899,2100,5,1,0,0,577,530,0
139,1938-09-05,0,0.0081427212017439,0.5320613305977917,2200,3,1,0,0,588,590,1
143,1998-05-02,0,0.020548683056739,0.3675826382687173,2100,5,1,0,0,523,771,0
144,1974-08-07,0,0.012532429983956,0.2918292658415181,2000,5,1,0,0,559,602,1
146,1942-10-03,1,0.1004906259282579,0.3557569338156078,2200,5,2,0,1,825,770,0
149,1972-11-27,1,0.0618300137667522,0.20533392806974,2500,3,3,0,0,615,660,0
150,1941-08-13,0,0.0089849820207534,0.2282722046002425,2400,4,3,0,0,637,689,0
151,1952-09-07,0,0.061902911790852,0.5133695306701791,2500,4,3,0,0,761,736,0
152,1965-03-25,1,0.0356799093793639,0.5211832386986892,2100,7,1,0,0,651,717,0
153,1987-10-31,0,0.0922157009276934,0.3245937716797216,2000,6,2,0,0,726,837,0
154,1988-07-18,0,0.0241782882785194,0.2006645085023092,2400,5,3,0,0,601,610,0
155,1945-09-25,0,0.0761115689446498,0.4995782399513895,2200,3,2,0,0,798,697,0
156,1941-04-23,0,0.0401667463429806,0.3741903388323287,2000,2,1,0,1,827,635,0
158,1992-11-04,1,0.0278294342174466,0.3473689487802473,2400,4,3,0,0,601,626,0
159,1958-11-19,0,0.0520473992468671,0.3582769024246324,2100,6,2,0,0,590,666,0
160,1973-06-17,1,0.0161018087553858,0.1788377070705311,2000,9,3,0,0,724,653,0
161,1949-05-30,2,0.0089014747012189,0.3994853033162507,2400,4,0,0,1,807,673,0
162,1989-10-01,1,0.046408180449176,0.3630657681483354,2200,8,3,0,0,640,625,1
163,1970-03-04,0,0.0246913061225134,0.639662063918932,2300,3,0,1,1,563,576,0
164,1959-04-22,2,0.0224145053017221,0.2755935250746491,2000,6,1,0,0,502,631,0
165,1935-07-21,0,0.0414537221994225,0.3085292302244611,2000,5,0,0,0,513,787,0
166,1973-08-31,0,0.0040271436866295,0.4754766951667556,2500,4,3,0,0,832,662,0
167,1942-03-11,0,0.002349061091014,0.3008655162970675,2200,1,3,0,0,722,580,0
168,1995-09-13,0,0.0485894970828296,0.3332914288114838,2000,4,2,0,0,728,544,0
169,1946-03-01,0,0.0481599111527375,0.3131903552551746,2000,4,1,0,0,515,796,1
170,1995-11-19,1,0.0106131053485404,0.5622476740018076,2300,7,1,0,0,582,589,1
171,1961-07-01,1,0.0339022945404697,0.4284556071320312,3100,8,2,1,0,744,788,0
172,1991-08-19,2,0.0234476615528366,0.4814669629994494,2100,3,1,1,0,599,782,0
173,1951-06-23,0,0.0039022370389739,0.2886344687760775,2100,4,5,0,1,756,736,0
174,1935-11-06,1,0.0577890773543092,0.3582026540105747,3000,4,1,0,0,818,722,0
175,1953-12-26,0,0.0273939646755431,0.5282867355596967,2100,7,2,0,0,531,745,0
176,1968-12-15,0,0.0611815614409267,0.3422591101619215,2200,5,3,0,0,518,784,0
177,1983-02-07,0,0.0182495601655325,0.4346863444557943,2700,6,3,0,0,627,541,0
179,1968-09-24,0,0.003512796166473,0.31132891646233,2100,5,0,0,0,619,574,0
181,1951-12-15,0,0.1169066991745807,0.2116016789297328,2000,6,1,0,0,568,532,0
182,1948-05-03,1,0.0136582975230864,0.3922984217122742,2100,3,0,0,0,632,820,0
183,1961-10-16,0,0.0255469972455134,0.379897407981117,2000,7,0,0,0,649,708,0
184,1986-07-12,0,0.0007007703526449,0.4871318986090492,2000,5,4,0,1,838,694,0
185,1945-11-29,0,0.03377796505568,0.4095889756675376,2100,2,2,0,1,547,523,1
186,1929-11-30,1,0.0171345366787009,0.3968414556124305,2000,6,5,0,0,723,596,0
187,1998-08-30,0,0.048319095188506,0.2956802314010261,2000,4,4,0,0,752,691,0
188,1937-09-23,1,0.0587294344406991,0.3636057465061827,2000,5,3,0,0,790,531,1
189,1986-02-26,0,0.0050071516269932,0.1957999316840319,2700,2,1,0,0,629,781,0
192,1987-09-03,1,0.0093586371804599,0.4257992508413345,2100,6,2,0,0,817,838,0
193,1951-01-15,0,0.0011743603302256,0.2602449635093632,2000,3,0,0,0,785,561,0
194,1993-09-06,3,0.0066858590802748,0.3265795696574777,2100,2,1,0,0,777,588,0
195,1982-05-26,0,0.0624561458223051,0.0949419786633861,2100,4,0,0,0,811,621,0
196,1955-01-26,0,0.0301352703051505,0.3099963626998327,2500,11,5,0,0,704,839,0
198,1988-11-08,1,0.1016269599551447,0.5615618045163215,2200,4,1,1,0,696,706,0
199,1988-03-03,0,0.0112730543663225,0.1854825270239972,2000,7,4,0,0,523,645,1
201,1954-05-01,0,0.0006124589807528,0.3947441317254751,2000,7,1,0,0,781,767,0
202,1959-10-17,1,0.0265073242713829,0.2381449772928242,2000,8,1,0,0,806,694,0
203,1950-03-21,1,0.0268366384615479,0.3045770604439236,2000,1,2,0,0,771,658,0
204,1978-12-27,1,0.0303640413344258,0.3819095921943104,2100,7,2,0,0,548,728,0
205,1989-03-30,0,0.0562733656813905,0.3370807497182253,3300,6,1,1,0,510,604,0
206,1992-12-01,2,0.01119462695534,0.3261404509500438,2300,2,5,0,0,801,768,0
207,1959-06-18,0,0.0022153281014507,0.255871310646253,2300,2,3,0,0,595,676,0
208,1955-10-09,1,0.0268351828224089,0.4791880666689076,2100,7,3,1,0,545,822,0
210,1941-05-24,0,0.0044302802707825,0.4665335286896243,2200,5,4,0,0,554,619,0
212,1987-04-21,0,0.0802639236610376,0.4016195576233137,2400,3,2,0,1,646,584,0
213,1965-06-03,1,0.0202718771216991,0.2911619076947219,2400,6,4,0,0,786,504,0
216,1985-01-10,2,0.0288949326977486,0.5843050513402845,2100,2,2,0,0,694,535,0
217,1984-03-11,0,0.1332206571908341,0.3452006748180253,2100,3,0,0,0,734,735,0
218,1966-10-10,1,0.0108690894401895,0.2750005132121543,2000,4,2,0,0,839,626,0
219,1937-07-22,0,0.0003620054315032,0.3116566453157575,2600,7,1,0,0,643,802,0
221,1980-03-01,0,0.0637748685437561,0.1429384685440196,2300,8,5,0,0,696,566,0
222,1968-04-15,2,0.1129510571070424,0.181662119267503,2200,7,1,0,0,685,648,0
224,1951-08-05,0,0.0451197979938976,0.3317301795681839,2600,4,5,0,0,618,514,0
226,1969-05-29,0,0.0039613932046596,0.525125347049732,2000,10,1,0,0,758,612,0
227,1952-09-02,0,0.0226258182459831,0.3180631740724877,2000,5,0,0,0,706,679,0
228,1977-11-02,0,0.0120381519643287,0.5521285143416493,2000,5,4,0,0,798,517,1
229,1933-06-09,0,0.0417254079325591,0.4367423713780105,2500,3,0,0,0,628,533,1
230,1997-03-19,0,0.0091828802962545,0.3119711870327588,2100,2,3,0,0,808,736,0
231,1974-03-09,1,0.0311203782884695,0.3599088251186601,2400,4,5,2,0,641,630,0
234,1969-12-20,1,0.0316121826668942,0.3736233033242255,2200,4,3,0,0,752,826,0
235,1952-02-13,2,0.0004401348874237,0.4845450809950154,2200,8,4,0,0,684,612,1
237,1941-04-04,0,0.0102502723386092,0.1968255513881962,2700,4,1,0,0,679,832,0
238,1948-02-22,0,0.0446458649289179,0.2106198497958956,2200,8,3,0,0,688,653,0
239,1983-03-27,0,0.0130349217997584,0.102895663976109,2200,9,0,1,0,820,667,0
240,1992-06-09,0,0.0098662352361059,0.2073412394436602,2500,6,4,0,0,683,503,0
241,1946-07-16,0,0.0027873663881968,0.2156774183756533,2400,8,5,0,0,689,758,0
242,1960-11-14,2,0.0229669676337288,0.4240281054173397,2000,8,2,1,0,732,646,0
243,1939-12-31,1,0.012291118424893,0.3318768433617843,2200,8,2,0,0,692,666,0
244,1951-02-04,3,0.0568135410714287,0.1304023869289022,2100,9,2,0,0,604,696,0
246,1971-12-04,-1,0.05251643116253,0.4701187420904736,2000,7,1,0,0,535,690,0
247,1936-11-27,1,0.1702923884867022,0.5949067008864461,2000,3,0,0,0,514,561,1
248,1982-07-26,2,0.0183037948482728,0.3020653502951692,2100,9,2,0,0,832,505,1
249,1968-08-14,1,0.0910627059834792,0.3394580841946012,2200,7,3,0,0,760,557,0
250,1990-02-04,2,0.0392687094676959,0.3167935651265769,2100,10,3,0,0,791,651,0
251,1990-12-13,0,0.0073942182291533,0.3058825063485442,2000,5,2,0,0,802,644,0
252,1943-02-28,0,0.003688538446946,0.3645544217260878,2400,8,3,0,0,639,651,1
253,1963-03-12,1,0.0646833125631505,0.3281384416709216,2100,2,2,0,0,588,755,0
254,1945-01-06,0,0.0734425125413613,0.4146747450949022,2300,3,2,0,0,671,503,0
255,1930-08-02,0,0.0072751058342458,0.2635680808049687,2000,6,1,0,0,833,558,0
256,1969-10-21,1,0.0895713613277555,0.4366192719986796,2000,3,3,0,0,576,701,0
257,1989-03-05,0,0.0532947433670318,0.1607830452013719,2000,6,0,0,0,631,774,0
258,1976-07-07,0,0.0028028142187647,0.2911601486668501,2100,5,1,0,0,699,649,0
259,1954-05-21,1,0.040392447657303,0.2943669635700688,2100,2,2,0,0,709,670,0
260,1941-10-24,1,0.0673431113380052,0.3389184417018802,2500,6,2,0,0,528,751,0
261,1965-11-15,1,0.0424300661677131,0.3471384698002077,2000,6,4,0,0,644,640,0
263,1944-04-21,1,0.0126433454849274,0.3536725665092694,2300,6,2,0,0,601,526,0
264,1985-01-08,0,0.0028364568597691,0.2368563975436271,2400,10,1,0,0,806,612,0
265,1954-09-25,1,0.0320650566228768,0.3242604932700815,2100,4,2,0,0,837,593,0
267,1939-08-27,1,0.0308332513249828,0.2694426785432678,2700,6,0,0,1,509,774,0
268,1965-10-23,0,0.0740868755025694,0.3131670710907072,2000,5,3,0,0,511,528,0
269,1950-06-20,0,0.0149638502075109,0.4553852140413489,2300,5,1,0,1,662,574,1
270,1992-10-19,0,0.0153425036900369,0.206677846312579,2000,8,2,0,0,712,837,0
271,1984-07-08,0,0.0125808111552658,0.6063061555285885,2000,5,0,0,0,601,760,0
273,1949-09-15,0,0.0168838248882904,0.3018619038222691,2000,7,2,0,0,579,819,0
275,1961-06-05,0,0.1415977950309999,0.2700101853491445,2100,4,2,0,0,723,809,0
276,1995-11-11,2,0.0244841387505526,0.2524145677013169,2000,4,0,0,0,788,773,0
277,1995-07-19,0,0.0224224481970108,0.4160347665010022,2000,7,1,0,0,638,737,0
278,1960-11-18,1,0.0588439610151468,0.1631234774703123,2000,5,1,0,0,626,573,0
279,1958-03-28,0,0.0341413013507753,0.3938910964909473,2000,3,3,0,0,611,708,0
281,1965-01-20,1,0.0112380860728715,0.2560436974042728,2600,4,2,0,0,691,823,0
282,1980-12-31,0,0.0060563388769967,0.4330742747878016,2000,6,0,0,0,797,523,0
283,1931-02-03,0,0.0603312646029034,0.350851371974463,2200,4,2,1,0,782,612,0
284,1951-06-04,1,0.0026715002092145,0.2320795375679468,2500,5,3,0,0,801,827,0
285,1988-05-22,0,0.0454173968653622,0.4032145862805361,2000,7,3,0,0,648,760,0
286,1968-02-16,0,0.00068766673648,0.4322799877069124,2200,4,0,0,0,551,532,0
287,1945-05-31,1,0.0911368048801385,0.2736491778891325,3200,8,3,0,0,772,724,0
291,1987-06-23,2,0.1476055156866201,0.3901456327423762,2600,6,1,0,0,767,652,0
292,1973-06-14,0,0.0159832568616796,0.251903666041231,2300,8,1,0,0,767,822,0
293,1988-06-24,0,0.0036367651394367,0.293005307177732,2200,8,0,0,0,784,637,0
295,1938-07-08,0,0.0300762994104612,0.5550138636552114,2000,4,3,0,0,690,524,0
296,1984-10-29,1,0.2141062284755543,0.343096554187024,2100,7,1,0,0,831,599,0
297,1977-06-13,0,0.1141661126972558,0.3188040662427624,2200,5,2,0,0,512,832,0
299,1982-07-17,0,0.0131294459709813,0.2424744654527267,2000,6,1,0,0,705,516,0
300,1948-10-07,0,0.015853995949691,0.1993243501682163,2200,4,1,0,0,752,750,0
301,1962-07-22,2,0.0287459999097426,0.5156715981320061,2000,7,1,0,0,788,680,0
304,1956-05-18,0,0.0361207664731763,0.5200791017270633,2000,4,2,0,0,691,577,0
305,1930-01-14,1,0.0206485452323309,0.4431185908379902,2000,9,2,0,0,669,510,0
306,1938-11-07,0,0.0072791069687668,0.1607173298714088,2600,1,1,0,0,822,582,0
309,1982-06-11,1,0.0416312003893633,0.5012001208304965,2000,4,1,0,0,547,524,1
312,1933-03-08,0,0.0436841519176631,0.2441049131552529,2000,4,2,0,0,676,591,0
313,1967-08-06,1,0.0284190065895955,0.3490819263143109,2200,5,1,0,0,731,793,0
314,1993-11-11,0,0.1833129231972238,0.3145425979296581,2600,5,4,0,0,694,628,1
315,1953-12-11,2,0.0985301789088403,0.2384931657494607,2700,1,2,0,0,750,612,0
316,1965-07-02,0,0.0120940173917613,0.2722027132239707,2000,3,5,0,0,665,810,0
317,1948-05-10,2,0.0606411762129695,0.4033158655568818,2200,5,1,1,0,716,709,0
318,1943-06-18,0,0.0242319436591612,0.465348568292158,2200,4,4,0,0,672,533,1
319,1936-09-24,0,0.1317485073873572,0.2247362746296007,2400,6,5,0,0,774,783,0
320,1941-11-04,1,0.0399444822019257,0.2045937949519122,2100,5,4,1,0,525,716,0
321,1941-01-19,0,0.0863303441366621,0.240578444666144,2600,3,2,0,0,544,655,0
322,1950-09-03,2,0.2243487886894014,0.2829376282076832,2000,8,3,0,0,533,650,1
323,1946-02-06,0,0.1150610538998571,0.4214165988523629,2000,4,4,1,0,716,662,0
324,1971-09-14,0,0.154152007946075,0.4680559098304246,2500,5,1,1,0,713,710,0
325,1950-04-05,0,0.0623391022688691,0.4169886779962802,2500,6,1,1,0,597,617,0
327,1982-02-28,1,0.0304739691246343,0.3861222856839059,2500,5,4,0,0,779,618,0
328,1972-01-19,0,0.0061938419646677,0.2836950314772311,2000,1,3,1,2,583,581,0
329,1967-05-15,0,0.0063497042482648,0.5156076237201979,2100,7,0,0,0,759,798,0
330,1951-02-11,0,0.098323232645406,0.2115648688445352,2100,4,3,0,0,765,735,0
331,1948-05-19,0,0.0946152530056987,0.4263096626349624,2400,4,2,0,1,738,688,1
333,1930-01-26,0,0.0487368615850186,0.4050619172866022,2000,7,5,0,0,746,793,0
335,1977-10-05,1,0.0266079303463875,0.2629599785018124,2100,4,1,0,0,654,663,0
336,1944-12-23,1,0.0439189458552506,0.1478737685777607,2000,3,0,0,0,531,716,0
337,1960-10-25,1,0.0855998183868544,0.5212513954924463,2200,4,1,0,0,514,833,1
338,1969-11-03,0,0.0807513482016555,0.2440797765584199,2200,5,0,0,0,669,623,0
339,1942-11-14,0,0.0340691855908137,0.3140512043265233,2000,1,1,0,1,579,823,0
341,1966-06-10,1,0.0738738763676237,0.4188951611362155,2200,4,3,1,0,788,590,0
344,1986-08-17,1,0.0105893313215963,0.5161446169879714,2000,5,1,0,0,630,530,0
345,1939-10-14,1,0.0234250841330018,0.3297733925361102,2900,5,4,0,0,680,679,0
348,1982-04-04,0,0.0701233217144917,0.1758238159211318,2200,3,1,0,0,636,600,1
349,1944-12-20,0,0.2942321800528658,0.3940628667288707,2500,10,2,1,0,658,623,0
350,1949-01-02,0,0.0024513751405746,0.1390356580929436,2000,4,0,0,0,639,711,0
351,1948-06-08,0,0.1185287114747099,0.4936310369778414,2600,5,3,0,0,711,641,0
352,1976-02-15,1,0.0314255525660401,0.421445966177155,2800,3,1,0,0,592,726,0
353,1964-01-31,1,0.012083790576142,0.2917411401437605,2800,5,2,0,0,730,530,0
354,1969-02-18,0,0.0843145295804712,0.4916108169776699,2000,3,1,0,0,741,511,1
355,1987-01-24,0,0.0006034153801999,0.3253377435175649,2600,3,2,0,0,525,610,0
356,1941-12-29,0,0.0685502480743587,0.2027733659546299,2100,4,6,1,1,735,654,0
358,1940-03-14,0,0.0378925186654174,0.3766696274195131,2400,3,3,0,0,774,708,0
360,1963-05-18,0,0.0983806357127134,0.2244699430465492,2000,6,1,0,1,780,557,0
362,1960-10-01,1,0.1799117316677135,0.4043602817354182,2000,6,2,0,0,817,502,1
364,1965-07-13,1,0.0833299300852703,0.2959030265734075,2000,1,0,0,1,726,729,0
365,1968-04-01,0,0.0053222502213867,0.2737114622074827,2100,5,3,0,0,520,798,0
367,1929-08-02,1,0.0850978698658645,0.5321713299478695,2000,4,5,0,0,839,839,0
369,1978-10-01,1,0.0106354180515649,0.6603201052588211,2000,3,2,0,0,585,638,1
370,1929-06-04,0,0.0072484841508256,0.4267489506736076,2500,3,5,0,0,780,528,0
371,1955-10-18,0,0.1377812302862796,0.4671404096624042,2200,2,2,0,0,504,550,0
372,1970-11-01,2,0.197414267817168,0.2752935772015383,2100,5,3,0,0,504,743,0
374,1973-10-18,0,0.0462478434808481,0.4308195341493369,2100,7,1,0,0,538,548,0
375,1935-03-02,0,0.0076294202590118,0.5342413957423104,2400,7,0,0,0,568,828,0
376,1968-01-22,1,0.0795922187085991,0.2927438351463233,2200,10,3,0,0,619,755,0
377,1982-10-11,1,0.0016416576356804,0.4646337630094169,2400,5,1,0,0,770,752,0
378,1967-12-11,0,0.0007183809732569,0.2815088305302208,2500,7,1,0,0,702,823,0
379,1950-02-26,0,0.148780412431017,0.3191567084227536,2100,2,0,0,0,561,746,1
380,1965-12-08,1,0.0351217235362752,0.4304347135714482,2400,4,2,0,0,718,611,0
381,1937-12-12,-1,0.0732719449065213,0.3258659032786837,2200,1,4,0,0,738,626,0
382,1999-04-28,0,0.0895094089435583,0.2904148635952768,2500,5,2,0,0,560,729,0
384,1956-07-21,1,0.0043899471725474,0.3191899139742468,2100,6,5,0,0,629,620,0
385,1955-09-29,0,0.0129144367266691,0.3909061557070056,2100,6,2,0,1,625,601,0
386,1986-07-13,0,0.0390674680539614,0.2039980304784613,2000,6,1,0,0,631,638,1
387,1993-06-05,0,0.1209304224320574,0.269525928459394,2000,0,1,0,0,598,571,0
388,1954-06-02,1,0.0341590242503146,0.4746088561205643,2100,7,3,0,0,525,836,0
389,1960-06-23,1,0.0024614977397212,0.4844628740131833,2200,6,1,0,0,793,604,0
